Using SPARSE 1.3 as Direct Linear Solver
Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed

Note: No compatibility mode selected!


Circuit: PVT DC Regulation

Doing analysis at TEMP = 150.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
bvdd                                         7
avbg                                     1.226
ibias                                 0.833068
svdd                                       2.2
en                                         2.2
en_ret                                       0
pvdd                                   5.00176
xdut.gate                              5.64123
xdut.xrss.t1                             1.226
xdut.xrss.t2                             1.226
xdut.vref_ss                             1.226
xdut.xea.ibias_en                     0.832978
xdut.ea_en                                   7
xdut.ea_out                            5.64123
xdut.xea.pb_tail                       5.78195
xdut.xea.tail_s                        3.17772
xdut.xea.d1                           0.861685
xdut.xea.d2                           0.749063
xdut.vfb                               1.22637
xdut.xea.comp_mid                      5.64123
xdut.xfb.xr_top.t1                     5.00138
xdut.xfb.xr_top.t2                     1.22676
xdut.xfb.xr_bot.t1                     1.22599
xdut.xfb.xr_bot.t2                 0.000386587
xdut.ibias_ilim                       0.952758
xdut.xilim.xrcas_top.t1                6.99967
xdut.xilim.xrcas_top.t2                3.99731
xdut.xilim.cas_bias                    3.99699
xdut.xilim.xrcas_bot.t1                3.99666
xdut.xilim.xrcas_bot.t2            0.000325479
xdut.xilim.cas_mid                     4.90575
xdut.xilim.sense_out                 0.0370998
xdut.xilim.det_n                             7
xdut.xilim.xrpu.t1                           7
xdut.xilim.xrpu.t2                           7
xdut.ilim_flag                      8.6462e-07
xdut.xuv.xr_top.t1                     5.00143
xdut.xuv.xr_top.t2                     1.46473
xdut.xuv.mid_uv                        1.46439
xdut.xuv.xr_bot.t1                     1.46405
xdut.xuv.xr_bot.t2                 0.000345908
xdut.xuv.out_n                         2.17918
xdut.xuv.xr_hyst.t1                    2.17917
xdut.xuv.xr_hyst.t2                    1.46441
xdut.xuv.xr_bias.t1                    2.19991
xdut.xuv.xr_bias.t2                   0.750909
xdut.xuv.bias_n                       0.750824
xdut.xuv.tail                         0.752751
xdut.xuv.out_p                         1.17388
xdut.xuv.en_bar                    7.23119e-07
xdut.uvov_en                           5.00176
xdut.xuv.nor_mid                      0.179197
uv_flag                            3.86137e-06
xdut.xov.xr_top.t1                      5.0014
xdut.xov.xr_top.t2                     1.11453
xdut.xov.mid_ov                        1.11417
xdut.xov.xr_bot.t1                     1.11381
xdut.xov.xr_bot.t2                 0.000359449
ov_flag                            0.000113555
xdut.xov.xr_hyst.t1                0.000122634
xdut.xov.xr_hyst.t2                    1.11416
xdut.xov.xr_bias.t1                    2.19991
xdut.xov.xr_bias.t2                   0.750909
xdut.xov.bias_n                       0.750824
xdut.xov.tail                         0.560319
xdut.xov.out_p                         1.19179
xdut.xov.out_n                         2.18015
xdut.xov.en_bar                    7.23119e-07
xdut.xov.nor_mid                      0.178412
