Using SPARSE 1.3 as Direct Linear Solver
Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed

Note: No compatibility mode selected!


Circuit: PVDD Line Regulation

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
bvdd                                         5
avbg                                     1.226
ibias                                 0.995816
svdd                                       2.2
en                                         2.2
en_ret                                       0
pvdd                                   4.98917
xdut.gate                              2.68911
xdut.xrss.t1                             1.226
xdut.xrss.t2                             1.226
xdut.vref_ss                             1.226
xdut.xea.ibias_en                     0.995727
xdut.ea_en                                   5
xdut.ea_out                            1.99097
xdut.xea.pb_tail                       3.73797
xdut.xea.tail_s                        2.87679
xdut.xea.d1                           0.999379
xdut.xea.d2                             2.0891
xdut.vfb                               1.22335
xdut.xea.comp_mid                      1.99097
xdut.xfb.xr_top.t1                     4.98873
xdut.xfb.xr_top.t2                      1.2238
xdut.xfb.xr_bot.t1                     1.22291
xdut.xfb.xr_bot.t2                 0.000445853
xdut.ibias_ilim                        1.08951
xdut.xilim.xrcas_top.t1                4.99973
xdut.xilim.xrcas_top.t2                2.85584
xdut.xilim.cas_bias                    2.85557
xdut.xilim.xrcas_bot.t1                 2.8553
xdut.xilim.xrcas_bot.t2             0.00026894
xdut.xilim.cas_mid                     4.08752
xdut.xilim.sense_out                   2.22008
xdut.xilim.det_n                       3.85258
xdut.xilim.xrpu.t1                     4.99991
xdut.xilim.xrpu.t2                     3.85267
xdut.ilim_flag                      0.00312473
xdut.xuv.xr_top.t1                     4.98879
xdut.xuv.xr_top.t2                     1.46172
xdut.xuv.mid_uv                        1.46134
xdut.xuv.xr_bot.t1                     1.46094
xdut.xuv.xr_bot.t2                   0.0003991
xdut.xuv.out_n                         2.18477
xdut.xuv.xr_hyst.t1                    2.18475
xdut.xuv.xr_hyst.t2                    1.46136
xdut.xuv.xr_bias.t1                     2.1999
xdut.xuv.xr_bias.t2                   0.800422
xdut.xuv.bias_n                       0.800327
xdut.xuv.tail                         0.677993
xdut.xuv.out_p                         1.07854
xdut.xuv.en_bar                            2.2
xdut.uvov_en                       1.40901e-06
xdut.xuv.nor_mid                       1.34269
uv_flag                            3.75723e-08
xdut.xov.xr_top.t1                     4.98875
xdut.xov.xr_top.t2                     1.11185
xdut.xov.mid_ov                        1.11142
xdut.xov.xr_bot.t1                     1.11101
xdut.xov.xr_bot.t2                 0.000414556
ov_flag                            3.60431e-05
xdut.xov.xr_hyst.t1                4.65153e-05
xdut.xov.xr_hyst.t2                    1.11141
xdut.xov.xr_bias.t1                     2.1999
xdut.xov.xr_bias.t2                   0.800422
xdut.xov.bias_n                       0.800327
xdut.xov.tail                         0.484101
xdut.xov.out_p                         1.08739
xdut.xov.out_n                          2.1913
xdut.xov.en_bar                            2.2
xdut.xov.nor_mid                       1.32041
xdut.xzc.n3                            3.89427
