Using SPARSE 1.3 as Direct Linear Solver
Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed

Note: No compatibility mode selected!


Circuit: PVT DC Regulation

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
bvdd                                         7
avbg                                     1.226
ibias                                 0.995806
svdd                                       2.2
en                                         2.2
en_ret                                       0
pvdd                                   6.10966
xdut.gate                              4.85227
xdut.xrss.t1                             1.226
xdut.xrss.t2                             1.226
xdut.vref_ss                             1.226
xdut.xea.ibias_en                     0.995738
xdut.ea_en                                   7
xdut.ea_out                            2.74153
xdut.xea.pb_tail                       5.72163
xdut.xea.tail_s                        3.19078
xdut.xea.d1                            1.01762
xdut.xea.d2                             3.1907
xdut.vfb                              -1774.38
xdut.xea.comp_mid                      2.74153
xdut.xfb.xr_top.t1                      5.4649
xdut.xfb.xr_top.t2                    -1773.74
xdut.xfb.xr_bot.t1                    -1775.03
xdut.xfb.xr_bot.t2                    0.644752
xdut.ibias_ilim                        1.08951
xdut.xilim.xrcas_top.t1                6.99962
xdut.xilim.xrcas_top.t2                3.99735
xdut.xilim.cas_bias                    3.99697
xdut.xilim.xrcas_bot.t1                 3.9966
xdut.xilim.xrcas_bot.t2            0.000376331
xdut.xilim.cas_mid                     5.21913
xdut.xilim.sense_out                   2.95596
xdut.xilim.det_n                       5.65412
xdut.xilim.xrpu.t1                      6.9999
xdut.xilim.xrpu.t2                     5.65422
xdut.ilim_flag                     8.32259e-07
xdut.xuv.xr_top.t1                     5.48926
xdut.xuv.xr_top.t2                    -1723.18
xdut.xuv.mid_uv                        -1723.8
xdut.xuv.xr_bot.t1                    -1724.47
xdut.xuv.xr_bot.t2                    0.669517
xdut.xuv.out_n                       -0.862676
xdut.xuv.xr_hyst.t1                  -0.932673
xdut.xuv.xr_hyst.t2                   -1723.73
xdut.xuv.xr_bias.t1                     2.1999
xdut.xuv.xr_bias.t2                   0.800422
xdut.xuv.bias_n                       0.800327
xdut.xuv.tail                        -0.725542
xdut.xuv.out_p                         1.60421
xdut.xuv.en_bar                    1.01667e-06
xdut.uvov_en                           6.10965
xdut.xuv.nor_mid                           2.2
uv_flag                                    2.2
xdut.xov.xr_top.t1                     6.10914
xdut.xov.xr_top.t2                     1.39103
xdut.xov.mid_ov                        1.39051
xdut.xov.xr_bot.t1                        1.39
xdut.xov.xr_bot.t2                 0.000518621
ov_flag                                2.19966
xdut.xov.xr_hyst.t1                    2.19965
xdut.xov.xr_hyst.t2                    1.39052
xdut.xov.xr_bias.t1                     2.1999
xdut.xov.xr_bias.t2                   0.800422
xdut.xov.bias_n                       0.800327
xdut.xov.tail                         0.510949
xdut.xov.out_p                         1.13509
xdut.xov.out_n                        0.521178
xdut.xov.en_bar                    1.01667e-06
